entity_id,entity_name,entity_type,source
U27106AS2005PTC007890,NANO STEEL PRIVATE LIMITED,COMPANY,companies_registry
U51109AS1985PTC002277,GLOBATE CO PVT LTD,COMPANY,companies_registry
U27107AS1997PTC005060,SIOTIA CASTINGS PVT LTD,COMPANY,companies_registry
U27109AS1993PTC017487,K.M.STEELS PVT LTD,COMPANY,companies_registry
U27320AS1992PLC003681,B R METALS LIMITED,COMPANY,companies_registry
U51109AS1999PTC005801,DIGARO TEA & ALLIED INDIA PRIVATE LIMITED,COMPANY,companies_registry
U51109AS1999PTC005921,ANTIQUE INDIA PRIVATE LIMITED,COMPANY,companies_registry
U28932AS2012PTC010977,RADHA GOBINDA INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
U47990AS2024PTC026508,BIOSYS LIFESCIENCES PRIVATE LIMITED,COMPANY,companies_registry
U50101AS2004PTC007543,GARGYA AUTOCITY PRIVATE LIMITED,COMPANY,companies_registry
U50300AS2014PTC011786,HORIZON MACHINERY PRIVATE LIMITED,COMPANY,companies_registry
U50400AS2020PTC020561,PUHARI MOTORS PRIVATE LIMITED,COMPANY,companies_registry
U50500AS2016PTC017546,URBAN WORLD MOTORS PRIVATE LIMITED,COMPANY,companies_registry
U50500AS2019PTC019162,VINAYAKAM EQUIPMENTS PRIVATE LIMITED,COMPANY,companies_registry
U51109AS2008PTC012075,TECHNO VANIJYA PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2009PTC009134,WAVE NEXT MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2010PTC009989,NICA CONSULTANCY & SERVICES PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2014PTC021092,QUICKGROW CHEMICALS INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2020PTC020333,SHM EAST HEALTHCARE REMEDIES PRIVATE LIMITED,COMPANY,companies_registry
U51109AS2005PTC007897,TAPTA KANCHAN MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U51109AS2005PTC007964,JONAKI MARKETING PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2007PTC008316,DEVESH ASSOCIATES PRIVATE LIMITED,COMPANY,companies_registry
U51109AS2008PTC017705,SANSKRITY VANIJYA PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2009PLC009416,MGR INDIA ENTERPRISES LIMITED,COMPANY,companies_registry
U45201AS2008PTC008624,PITAMBARI CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2014PTC011986,NORTH EAST INDIA FOODS PRIVATE LIMITED,COMPANY,companies_registry
U74900AS2021PTC021443,SOBERANA PRIVATE LIMITED,COMPANY,companies_registry
U45201AS1976PTC001674,NORTH EASTERN DRUGS & CHEMICALS PVT LTD,COMPANY,companies_registry
U45201AS2002PTC006919,KARAKAL CONSTRUCTION PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2009PTC008953,GRASHA INFRAPROJECTS PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2008PTC008647,BARNIL CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2009PTC009071,HOLY STAR CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2009PTC009048,AK MULTITRADE (INDIA) PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2010PTC010055,R. K. INFRA CONSTRUCTION PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2011PTC010598,EBONY INFRAPROJECTS PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2011PTC010799,NAHATA BHATTAR INFRASTRUCTURE PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2022PTC022790,NAVYASYS INDIA PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2014PTC011760,RUDRAKSHA PRODUCT DEVELOPER PRIVATE LIMITED,COMPANY,companies_registry
U45201AS2015PTC012121,BHUYAN DEVELOPERS AND CONSTRUCTION PRIVATE LIMITED,COMPANY,companies_registry
U56210AS2024PTC026791,LYRA PRODUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
